id_cliente,edad,genero,ingresos,plataforma,interacciones,compras,promedio_ticket,total_gastado,fecha_primer_compra,fecha_ultima_compra,dias_desde_ultima,recomendaciones,costo_adquisicion
C00000,36,F,41869,Facebook,18,2,114,228,2023-06-02,2024-12-25,97,0,25
C00001,53,F,57074,Facebook,16,1,88,88,2024-02-13,2025-03-08,24,0,24
C00002,36,F,47859,Instagram,29,3,23,69,2023-07-27,2025-03-05,27,1,16
C00003,55,F,53656,Facebook,17,1,47,47,2024-01-08,2025-02-16,44,0,29
C00004,47,F,46759,Facebook,15,1,102,102,2024-02-12,2025-02-07,53,0,32
C00005,21,F,43447,Instagram,21,1,54,54,2024-04-23,2024-12-31,91,0,14
C00006,30,F,41780,Instagram,35,1,25,25,2023-05-21,2025-01-01,90,1,12
C00007,34,M,51950,Facebook,21,3,72,216,2022-09-11,2024-10-23,160,0,30
C00008,20,M,18000,Instagram,31,5,17,85,2024-01-26,2025-03-18,14,0,10
C00009,29,F,82221,TikTok,39,1,40,40,2024-04-10,2025-01-30,61,1,20
C00010,22,F,50022,TikTok,34,1,31,31,2022-08-19,2025-01-16,75,1,16
C00011,35,M,20932,Facebook,14,1,101,101,2023-04-18,2024-11-14,138,1,15
C00012,30,F,18000,Instagram,25,1,29,29,2022-07-08,2024-11-25,127,0,20
C00013,24,M,22887,TikTok,35,3,12,36,2022-09-10,2024-12-12,110,1,5
C00014,19,M,19143,Instagram,25,2,46,92,2023-07-26,2024-10-14,169,1,15
C00015,34,M,43044,Instagram,32,2,30,60,2023-10-30,2024-11-19,133,0,10
C00016,58,F,68613,Facebook,11,3,59,177,2023-03-14,2025-01-30,61,1,21
C00017,47,F,71641,Facebook,18,2,81,162,2024-04-07,2025-03-16,16,1,17
C00018,27,M,41955,TikTok,49,2,28,56,2023-03-20,2024-11-12,140,2,20
C00019,28,M,65118,Instagram,28,5,32,160,2023-06-15,2024-12-03,119,0,25
C00020,18,M,18000,TikTok,44,1,29,29,2023-04-04,2024-11-15,137,1,12
C00021,30,F,74002,Facebook,17,2,90,180,2024-07-13,2025-02-24,36,1,22
C00022,32,F,20627,Instagram,34,1,31,31,2022-12-10,2024-10-16,167,0,21
C00023,21,F,35060,TikTok,48,2,32,64,2024-02-23,2025-01-15,76,0,5
C00024,25,F,40680,TikTok,41,2,31,62,2023-11-28,2024-11-16,136,0,11
C00025,34,M,64978,Instagram,26,1,38,38,2023-02-17,2025-01-22,69,0,22
C00026,33,M,60647,Facebook,17,4,54,216,2024-05-11,2025-01-16,75,0,16
C00027,39,M,43423,Instagram,28,2,58,116,2024-05-20,2025-03-18,14,0,21
C00028,30,M,24052,Instagram,33,1,56,56,2022-06-24,2024-10-27,156,0,23
C00029,48,F,45194,Facebook,19,3,97,291,2024-04-28,2025-02-17,43,0,15
C00030,45,F,77024,Facebook,17,3,106,318,2022-06-18,2024-10-20,163,0,26
C00031,51,F,73854,Facebook,15,2,78,156,2023-11-23,2025-02-18,42,0,18
C00032,40,M,49330,Instagram,30,3,30,90,2023-10-03,2025-01-02,89,0,17
C00033,37,F,28783,Instagram,32,2,51,102,2022-12-01,2025-01-15,76,2,21
C00034,42,F,33685,Facebook,13,2,113,226,2022-09-04,2024-11-28,124,0,16
C00035,38,F,54470,Instagram,29,2,49,98,2024-04-26,2025-02-15,45,0,25
C00036,29,M,18893,TikTok,43,1,39,39,2024-03-14,2024-11-30,122,0,5
C00037,39,F,37768,Instagram,36,5,45,225,2023-02-25,2025-01-30,61,1,25
C00038,18,M,61998,TikTok,46,4,35,140,2023-09-06,2024-11-01,151,0,11
C00039,20,M,31794,Instagram,22,3,58,174,2024-03-08,2025-03-16,16,1,10
C00040,35,M,21907,Instagram,31,4,31,124,2023-11-22,2025-01-11,80,0,24
C00041,21,F,18515,Instagram,35,2,40,80,2024-03-24,2025-02-12,48,0,12
C00042,30,M,46336,Instagram,34,3,53,159,2023-05-15,2024-11-12,140,1,10
C00043,46,M,50108,Facebook,14,5,84,420,2024-01-20,2024-10-25,158,0,29
C00044,26,M,35760,TikTok,44,1,26,26,2023-02-25,2024-10-31,152,2,18
C00045,40,F,76380,Instagram,26,2,42,84,2024-04-16,2024-12-12,110,0,21
C00046,56,F,86135,Facebook,13,3,68,204,2023-01-21,2025-02-05,55,2,27
C00047,30,F,50428,TikTok,33,3,27,81,2023-11-17,2025-03-12,20,0,20
C00048,39,F,62740,Instagram,19,1,35,35,2023-02-10,2025-01-27,64,1,25
C00049,20,M,30454,TikTok,48,2,23,46,2022-08-31,2025-01-31,60,0,5
C00050,59,M,77994,Facebook,6,1,73,73,2023-07-04,2024-11-20,132,1,17
C00051,22,M,43865,Instagram,29,2,25,50,2023-03-30,2024-12-10,112,1,12
C00052,47,F,42591,Facebook,14,1,77,77,2022-12-24,2025-01-03,88,1,15
C00053,34,F,52437,Facebook,19,2,108,216,2024-07-08,2025-03-17,15,0,16
C00054,59,M,54790,Facebook,8,1,114,114,2023-09-03,2025-03-15,17,1,30
C00055,18,M,35137,TikTok,42,3,27,81,2022-10-02,2024-10-04,179,0,16
C00056,18,M,18000,Instagram,38,2,41,82,2023-12-05,2025-02-25,35,0,18
C00057,39,F,56807,Instagram,34,1,36,36,2024-05-22,2025-02-23,37,0,23
C00058,28,M,37727,TikTok,47,1,27,27,2024-07-14,2025-02-13,47,0,14
C00059,22,F,28814,TikTok,37,1,21,21,2022-11-05,2024-10-29,154,0,13
C00060,33,F,52685,Facebook,15,3,47,141,2022-09-28,2024-11-30,122,0,22
C00061,20,M,40458,TikTok,41,5,14,70,2023-05-24,2025-02-18,42,0,13
C00062,21,F,18000,TikTok,48,3,33,99,2023-08-22,2024-11-06,146,0,11
C00063,22,F,37174,Instagram,26,3,16,48,2024-03-27,2024-11-07,145,0,24
C00064,41,F,42463,Facebook,18,3,53,159,2024-03-13,2025-02-14,46,1,20
C00065,32,M,36512,Facebook,10,5,52,260,2022-09-10,2024-11-13,139,0,22
C00066,22,M,63012,Instagram,35,4,58,232,2023-06-09,2025-01-04,87,1,11
C00067,18,M,28053,TikTok,41,1,18,18,2023-11-05,2025-03-09,23,0,9
C00068,22,F,31472,Instagram,39,3,32,96,2023-09-04,2025-01-10,81,2,17
C00069,16,F,39687,TikTok,35,2,23,46,2024-02-10,2024-12-09,113,1,9
C00070,23,M,44173,Instagram,33,4,47,188,2023-02-08,2024-10-19,164,2,13
C00071,26,F,61862,TikTok,49,4,40,160,2023-10-16,2024-12-04,118,0,19
C00072,32,M,38354,Instagram,25,3,45,135,2023-06-07,2024-10-10,173,1,12
C00073,19,F,18000,TikTok,39,1,22,22,2022-09-09,2024-12-02,120,2,12
C00074,21,M,54453,Instagram,28,1,28,28,2023-06-15,2025-02-10,50,0,17
C00075,20,F,39589,TikTok,42,1,18,18,2024-03-15,2025-01-25,66,0,14
C00076,32,M,36217,Facebook,22,2,73,146,2023-11-03,2024-11-15,137,0,31
C00077,24,M,18000,TikTok,50,3,31,93,2022-12-20,2024-10-18,165,0,14
C00078,46,M,42697,Facebook,16,3,95,285,2024-06-03,2025-01-20,71,0,33
C00079,34,F,39161,Instagram,31,3,16,48,2024-01-22,2024-11-30,122,0,15
C00080,36,F,37888,Instagram,28,2,47,94,2023-03-24,2025-01-27,64,2,16
C00081,54,F,47606,Facebook,17,1,106,106,2022-10-05,2024-12-16,106,0,33
C00082,31,F,63109,Facebook,10,1,46,46,2022-10-26,2025-03-16,16,0,24
C00083,36,F,74176,Instagram,39,2,16,32,2023-04-09,2024-11-24,128,1,12
C00084,26,F,18000,Instagram,42,2,24,48,2024-03-10,2024-11-23,129,2,23
C00085,18,F,54223,TikTok,44,1,31,31,2022-11-05,2025-03-19,13,0,15
C00086,42,M,77756,Facebook,19,4,80,320,2024-07-16,2025-02-17,43,0,20
C00087,35,F,42178,Facebook,16,3,110,330,2022-12-24,2024-10-29,154,1,24
C00088,31,M,42958,Facebook,8,1,60,60,2024-07-16,2025-02-11,49,0,25
C00089,34,M,67228,Instagram,42,6,36,216,2023-09-26,2025-01-26,65,0,14
C00090,30,F,36960,TikTok,26,2,11,22,2023-01-10,2024-10-20,163,0,13
C00091,26,M,18000,Instagram,33,2,49,98,2023-11-30,2024-12-05,117,1,12
C00092,29,M,26112,Instagram,39,6,26,156,2023-11-14,2025-01-02,89,1,23
C00093,46,F,83791,Facebook,20,3,54,162,2022-11-28,2024-12-04,118,0,23
C00094,39,F,51082,Facebook,13,3,87,261,2023-03-19,2025-01-23,68,0,22
C00095,37,M,47110,Instagram,36,2,49,98,2024-04-15,2025-02-06,54,1,21
C00096,25,F,32164,TikTok,36,3,34,102,2024-03-12,2024-10-13,170,0,17
C00097,29,F,48758,Instagram,41,6,43,258,2023-11-03,2025-01-20,71,0,23
C00098,45,F,59944,Facebook,14,1,42,42,2023-04-06,2024-11-01,151,0,27
C00099,33,M,65919,Facebook,6,2,107,214,2024-05-30,2025-02-14,46,0,26
C00100,57,F,80052,Facebook,23,3,64,192,2022-12-22,2025-01-30,61,0,21
C00101,58,F,98475,Facebook,15,1,80,80,2023-04-04,2025-03-20,12,0,31
C00102,32,F,31449,Instagram,32,1,49,49,2024-04-14,2024-12-31,91,2,11
C00103,28,F,28917,TikTok,42,1,18,18,2022-10-04,2025-01-15,76,0,12
C00104,26,M,33464,Instagram,40,2,29,58,2023-10-18,2025-01-10,81,1,15
C00105,35,M,58899,Facebook,16,2,116,232,2023-11-15,2025-02-18,42,0,27
C00106,23,F,19639,TikTok,33,1,30,30,2023-11-19,2024-12-13,109,1,14
C00107,22,M,19776,Instagram,34,3,28,84,2023-11-03,2025-03-11,21,0,22
C00108,30,M,43237,Instagram,32,2,38,76,2023-05-05,2024-10-11,172,0,22
C00109,24,M,42453,Instagram,27,4,43,172,2022-12-13,2024-10-26,157,0,15
