id_cliente,edad,genero,ingresos,plataforma,interacciones,compras,total_gastado,fecha_ultima_compra,costo_adquisicion
C000,56,M,35795,Instagram,15,3,282,2024-12-25,22
C001,53,M,80263,TikTok,22,3,147,2025-02-13,12
C002,19,M,25311,Facebook,17,2,136,2025-01-23,15
C003,59,M,38431,Instagram,13,2,166,2024-11-12,21
C004,54,M,23890,Instagram,15,4,316,2025-03-09,16
C005,26,M,43897,Instagram,16,3,189,2025-03-15,14
C006,52,M,100077,TikTok,17,2,50,2025-01-28,5
C007,59,F,72995,Instagram,19,4,268,2025-03-08,15
C008,25,F,60397,Instagram,25,2,86,2024-10-20,16
C009,42,F,106779,Facebook,24,1,30,2025-01-01,27
C010,25,F,33986,Facebook,24,2,120,2025-02-23,17
C011,24,M,28392,Instagram,19,2,162,2025-02-14,17
C012,52,M,104651,Facebook,17,2,132,2024-11-12,22
C013,18,M,102948,TikTok,16,1,98,2025-03-08,14
C014,43,F,43419,Instagram,16,2,46,2024-10-23,22
C015,56,M,76044,Instagram,24,1,78,2024-12-27,24
C016,45,M,63585,Facebook,24,4,188,2024-12-05,24
C017,37,F,68925,Facebook,18,2,162,2024-11-14,25
C018,44,M,81373,Instagram,19,1,63,2024-10-22,18
C019,32,M,93530,TikTok,16,2,162,2025-01-30,10
C020,29,M,72733,Facebook,20,2,156,2024-11-30,21
C021,19,F,20854,TikTok,18,3,216,2024-10-14,9
C022,23,F,107455,Facebook,12,1,57,2025-02-27,18
C023,22,M,72083,TikTok,22,1,92,2024-11-19,6
C024,23,M,71663,Instagram,26,1,86,2024-10-27,22
C025,37,M,22911,Instagram,15,2,40,2025-03-12,16
C026,45,F,93656,Facebook,17,4,316,2024-11-30,32
C027,19,M,51616,Instagram,22,2,134,2024-11-12,23
C028,37,M,26295,Facebook,22,1,57,2024-12-09,15
C029,37,M,68354,Instagram,17,2,108,2024-10-05,23
C030,53,M,110272,Instagram,16,3,81,2024-11-08,13
C031,20,F,106416,Facebook,20,3,123,2024-10-16,15
C032,55,F,67333,Facebook,20,2,80,2025-02-21,27
C033,50,M,59790,Instagram,15,2,108,2025-02-02,10
C034,34,F,76491,Instagram,20,4,224,2025-02-27,21
C035,46,F,116752,Facebook,25,2,104,2025-01-15,28
C036,35,M,54584,TikTok,29,3,129,2024-11-29,14
C037,49,F,24014,Facebook,16,2,104,2024-11-06,16
C038,56,M,74748,TikTok,20,3,252,2025-03-15,14
C039,33,F,96429,TikTok,26,3,153,2024-12-27,16
C040,42,M,72921,Instagram,26,1,34,2025-01-28,24
C041,54,F,100135,Facebook,32,4,264,2024-12-14,26
C042,57,F,93523,TikTok,19,2,162,2025-02-28,17
C043,26,F,94740,Instagram,15,2,134,2024-12-24,10
C044,57,F,76556,Instagram,22,3,264,2025-03-01,14
C045,46,F,79638,TikTok,16,3,228,2025-02-22,7
C046,31,M,29435,TikTok,13,5,440,2024-10-30,9
C047,43,F,55247,Instagram,20,2,84,2025-03-13,14
C048,22,F,117379,Instagram,17,4,80,2025-01-13,11
C049,21,M,47663,Facebook,22,3,129,2024-11-03,30
C050,52,M,55195,Facebook,19,4,344,2025-01-17,15
C051,50,F,89449,Instagram,15,1,21,2025-02-16,20
C052,40,M,113008,Facebook,18,2,52,2025-01-24,22
C053,28,F,20412,TikTok,23,2,58,2024-12-12,12
C054,26,M,55735,Facebook,18,2,162,2025-02-14,17
C055,29,F,56208,Instagram,23,1,36,2024-11-30,16
C056,37,F,66959,TikTok,18,4,380,2025-03-14,13
C057,24,F,79163,Instagram,22,2,70,2024-11-26,23
C058,22,F,109112,Instagram,22,3,228,2025-02-12,13
C059,59,F,41689,Facebook,23,3,285,2025-03-14,21
C060,27,M,102873,TikTok,19,2,92,2024-11-21,16
C061,19,M,103460,Facebook,16,4,144,2025-01-11,19
C062,42,F,21324,Facebook,18,2,146,2024-10-07,18
C063,44,M,45289,Facebook,13,1,77,2024-10-26,33
C064,45,M,77799,Facebook,23,1,82,2024-11-30,23
C065,42,M,53591,TikTok,12,5,185,2025-02-04,5
C066,58,M,72528,Facebook,23,3,282,2025-03-11,28
C067,27,F,30975,TikTok,19,2,110,2024-12-23,12
C068,25,F,104665,Facebook,17,2,92,2024-10-29,32
C069,26,F,98752,Instagram,25,1,65,2025-02-16,14
C070,23,M,25713,Instagram,23,2,150,2025-02-21,12
C071,22,F,21015,TikTok,24,5,150,2024-12-28,5
C072,43,F,24158,Facebook,25,2,40,2024-10-25,31
C073,23,M,32763,Facebook,20,4,168,2025-01-29,31
C074,54,F,24809,Facebook,18,1,20,2025-01-31,24
C075,30,F,77091,Facebook,22,2,182,2025-02-12,15
C076,43,F,78017,TikTok,24,4,292,2024-11-10,10
C077,47,M,44285,Instagram,19,1,98,2024-12-28,20
C078,31,M,57441,Facebook,16,1,57,2025-02-01,25
